term	freq
óscar	3
acuerdo	3
adopción	4
andrés	3
anuncia	3
arias	3
bogotá	5
bombardeos	3
caso	4
cepeda	3
colombia	3
corte	4
día	3
david	3
dice	6
eeuu	3
está	3
estado	3
farc	7
gustavo	3
informe	3
iván	5
luis	4
maduro	5
más	3
medellín	3
muerte	4
nicolás	4
paz	3
petro	8
proceso	3
procurador	6
samper	3
santos	9
ser	4
taxista	3
uribe	9
uribismo	4
venezuela	5
zuluaga	4
