id	Objeto	Tipo	Color	Uso	Recuerdo 	Propietario	Origen	Lugar	Anno	Conexion	Extension	 
253	Tenis N. negros	Zapatos	Negro	Frecuente	Es un regalo de su hermana	Mauricio	Regalo	Agaval 	2018	No	No
254	Tenis N verde claro	Zapatos	Verde claro	Frecuente	Es un regalo de su hermana	Mauricio	Regalo	México	2017	No	No
255	Tenis N. vinotinto azul	Zapatos	Vinotinto	Poco frecuente	Regalo de cumpleaños	Mauricio	Regalo	Agaval 	2016	No	No
256	Zapatos negros	Zapatos	Negro	Casi nunca		Mauricio	Compra	Zara	2015	No	No
257	Zapatos azul cuero	Zapatos	Verde Militar	Casi nunca		Mauricio	Compra	Bosi	2015	No	No
258	Tenis aguamarina 	Zapatos	Turquesa	Casi nunca		Mauricio	Compra	Fuera de loco	2015	No	No
259	Chanclas 	Zapatos	Negro	Diario	Las compró en Bogotá porque se le hinchó el pie luego de doblarse el tobillo	Mauricio	Compra	Bogotá	2017	No	No
260	Carpa 	Paseo	Verde Militar	Casi nunca	La estrenamos en Palomino, fue la primera vez que acampaba	Mauricio	Compra	Home center	2016	No	No
261	Piano Guadalupe	HIja Mauricio	Naranja	Casi nunca	Fue el regalo para Guadalupe en diciembre de 2017, no lo usó mucho. 	Guadalupe	Compra	Mercado libre	2017	No	No
262	Colchon inflable 	Paseo	Verde Militar	Casi nunca		Mauricio	Compra	No recuerdo	s/f	No	No
263	Bolsa calzoncillos 	Ropa	Azul eléctico	Diario		Mauricio	Compra	Varios	f/v	No	No
264	Bolsa medias	Ropa	Gris	Diario		Mauricio	Compra	Varios	f/v	No	No
265	Camisetas colores	Ropa	Varios colores	Frecuente		Mauricio	Compra	Varios	f/v	No	No
266	Camisetas negras	Ropa	Negro	Frecuente		Mauricio	Compra	Varios	f/v	No	No
267	Colección música	Música	Negro	Casi nunca		Mauricio	Compra	Varios	f/v	No	No
268	Colección peliculas	Colección	Negro	Casi nunca		Mauricio	Compra	Varios	f/v	No	No
269	Colección boletos	Colección	Vinotinto	Casi nunca		Mauricio	Recolección	Varios	f/v	No	No
270	Gafas realidad aumentada	Accesorios	Blanco	Casi nunca	Se usaron en una exposición del MAMM	Mauricio	Regalo	MAMM	2016	No	No
271	Rodillera	Accidente	Negro	Poco frecuente		Mauricio	Compra	No recuerdo	s/f	No	No
272	Cabestrillo 	Accidente	Azul eléctico	Muy poco frecuente		Mauricio	Compra	Clínica	2018	No	No
273	Muñequera	Accidente	Negro	Poco frecuente	Se quebró la muñeca 3 días después de vivir juntos. 	Mauricio	Compra	Monterrey	2019	No	No
274	Gafas de sol 	Accesorios	Negro	Poco frecuente	Es un regalo de su hermana	Mauricio	Compra	México	2018	No	No
275	Estuche gafas 	Accesorios	Negro	Poco frecuente	Es un regalo de su hermana	Mauricio	Compra	México	2018	No	No
276	Loción 	Maquillaje	Azul eléctico	Diario		Mauricio	Compra	México	2018	No	No
277	Maquina de afeitar	Aseo	Negro	2 o más días		Mauricio	Compra	Panamericana	2018	No	No
278	Desodorante spray 	Aseo	Blanco	Diario		Mauricio	Compra	Barrio	2019	No	No
279	Pantaloneta militar	Ropa	Verde Militar	Frecuente		Mauricio	Compra	Punto blanco	2018	No	No
280	Pantaloneta flores	Ropa	Purpura	Frecuente		Mauricio	Compra	Punto blanco	2017	No	No
281	Impermeable bici	Ropa	Gris claro	Casi nunca		Mauricio	Regalo	Manizales	s/f	No	No
282	Sudaderas negras	Ropa	Negro	Poco frecuente		Mauricio	Compra	No recuerdo	s/f	No	No
283	Pantaloneta de baño 	Ropa	Azul cielo	Muy poco frecuente		Mauricio	Compra	Speedo	s/f	No	No
284	Sonido tamales 	Ruido	Blanco	2 o más días	"Y la masa, la masa es más rica que la carne"	Vecinos	Externo	Barrio	f/v	Si	Si
285	Sonido helados	Ruido	Blanco	2 o más días	"Estamos pasando por este prestigoso sector ofreciendoles este rico y delicioso helado..."	Vecinos	Externo	Barrio	f/v	Si	Si
286	Sonido bolsa de basura	Ruido	Blanco	2 o más días	"bolchita pa la basura... bolchita pa la basura"	Vecinos	Externo	Barrio	f/v	Si	Si
287	Sonido perro piso 8	Ruido	Blanco	3 o más días		Vecinos	Externo	Barrio	f/v	No	Si
288	Sonido tacones piso 8	Ruido	Blanco	3 o más días		Vecinos	Externo	Barrio	f/v	No	Si
289	Olor para dormir 	Cama	Blanco	Diario		Mauricio	Regalo	México	f/v	No	Si
290	Cuerpo Mauricio 	Cuerpo	Cafecito	Diario	Recuerdo para centimetro	Mauricio	Suegros	Manizales	1979	Si	Si
291	Cuerpo Cristina	Cuerpo	Café	Diario	Recuerdo para centimetro	Cristina	Papás	Medellín	1987	No	Si
292	Árbol 	Paisaje 	Verde Militar	Diario		Todos	Externo	Barrio	s/f	Si	Si
293	Edificios vecinos	Paisaje 	Naranja claro	Diario		Vecinos	Externo	Barrio	s/f	Si	Si
294	Puerta entrada 	Casa	Café oscuro	Diario	La puerta rozaba el piso y era muy dificil de cerrar. Tuvimos que cortarla	Mauricio	Compra	Casa	2014	No	No
295	Marca en el piso - puerta	Casa	Gris claro	Diario		Ambos	Accidente	Casa	2016	No	No
296	Viento	Sonido	Blanco	Frecuente		Todos	Externo	Barrio	f/v	No	Si
297	Puerta - baño	Casa	Café oscuro	Diario		Mauricio	Compra	Casa	2014	No	No
298	Closet Mauricio	Casa	Café oscuro	Frecuente		Mauricio	Compra	Casa	2014	No	No
299	Closet Cristina	Casa	Café oscuro	Diario	Mi closet está en otra habitación	Cristina	Compra	Casa	2014	No	Si
